Objects
100
,,Global Angle fuselage:fuselage,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.335254,-0.455642,0.264679,1934.138428,-694.690063,1255.736450
2,0,0.334109,-0.454761,0.264213,1937.136597,-693.935059,1256.879150
3,0,0.333682,-0.454791,0.263712,1940.132935,-693.061890,1258.481934
4,0,0.330693,-0.453386,0.261578,1943.580322,-692.114685,1260.000977
5,0,0.330130,-0.453484,0.260912,1947.289307,-691.288696,1261.392456
6,0,0.329103,-0.451956,0.260145,1950.996948,-690.341248,1263.295044
7,0,0.327567,-0.451360,0.259470,1954.897217,-689.387024,1265.235107
8,0,0.326238,-0.449508,0.258562,1959.136230,-688.228577,1267.238892
9,0,0.324891,-0.447581,0.257792,1963.595703,-687.074646,1269.376465
10,0,0.323427,-0.445674,0.257022,1968.264526,-685.815552,1271.771973
11,0,0.322500,-0.442967,0.256348,1973.155884,-684.464905,1274.318481
12,0,0.321485,-0.439995,0.255617,1978.473389,-682.974182,1276.831665
13,0,0.318731,-0.432990,0.255042,1983.751709,-681.482910,1280.139526
14,0,0.317797,-0.433521,0.254625,1988.961182,-679.748901,1283.233765
15,0,0.316265,-0.429938,0.253808,1994.726440,-677.941650,1285.975708
16,0,0.315880,-0.430424,0.252974,2000.570557,-676.081482,1288.755371
17,0,0.314484,-0.427349,0.252555,2006.554565,-674.015381,1292.287964
18,0,0.313002,-0.423666,0.251454,2012.945190,-672.005127,1295.869263
19,0,0.311389,-0.421077,0.250660,2019.403198,-669.777649,1299.694214
20,0,0.309404,-0.417885,0.249049,2025.955933,-667.403320,1303.661987
21,0,0.308326,-0.413784,0.247444,2032.910156,-664.973572,1307.524902
22,0,0.307308,-0.411790,0.245951,2039.873413,-662.252686,1311.763062
23,0,0.306253,-0.409243,0.244274,2046.893066,-659.438660,1316.404297
24,0,0.304670,-0.407434,0.242139,2054.195312,-656.504639,1321.225464
25,0,0.303948,-0.405586,0.240015,2061.629883,-653.258484,1325.981934
